Index,Nombre,Edad,Curso,Peso,Altura,Sexo asignado,Transgenero,Madre adolescente,Padre adolescente,Padres divorciados,Familia monoparental,Tratamiento psicologico padre/madre,Adiccion padre/madre,Relaciones conflictivas hijo-padre/madre,Familia reconstruida,Situacion economica familiar precaria,Estudios de la madre,Estudios del padre,Supervision parental insuficiente,Maltrato al adolescente,Duelo,Ingreso familiar mensual,Desenlace
1,Marcos Martinez,10,Colegio,89.71,118.08,Otro,No estoy seguro de ser trans,No,Si,Si,No,No,No,No,No,No,No,No,Si,No,Si,2155,Comunicacion
2,Luka Perez,11,Colegio,74.42,159.45,Otro,No estoy seguro de lo que se pregunta,No,Si,Si,Si,Si,No,No,Si,Si,Si,No,Si,Si,No,933,Finalidad
3,Lisa Anderson,22,Universidad,60.31,111.79,Otro,Si,Si,Si,No,No,Si,No,No,No,No,No,No,No,Si,Si,2460,Deseo
4,Charles Evans,10,Colegio,60.51,112.09,Otro,No estoy seguro de lo que se pregunta,Si,Si,Si,Si,No,Si,No,Si,Si,Si,No,Si,Si,No,2240,Planificacion
5,Luka Lewis,16,ESO,80.58,127.45,Mujer,No estoy seguro de lo que se pregunta,Si,No,No,Si,Si,No,No,Si,No,No,Si,Si,Si,No,2533,Ideacion
6,Mary Anderson,10,Colegio,75.88,183.17,Mujer,No estoy seguro de ser trans,No,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,2249,Ideacion
7,Frederick Diaz,24,Universidad,56.32,111.53,Otro,Si,No,No,Si,No,Si,Si,No,Si,No,No,No,No,Si,Si,2988,Finalidad
8,Maxwell Watson,18,Universidad,65.1,161.33,Hombre,No estoy seguro de lo que se pregunta,No,No,No,Si,No,Si,No,Si,No,No,No,No,Si,No,2513,Planificacion
9,Andrew Brooks,23,Universidad,66.62,144.15,Hombre,Si,No,No,Si,No,No,Si,No,Si,Si,No,Si,Si,Si,No,690,Finalidad
10,Jordan Moore,12,ESO,80.61,176.17,Mujer,No estoy seguro de ser trans,No,No,No,Si,Si,No,Si,Si,No,Si,No,Si,No,No,1549,Planificacion
11,Luke Gray,14,ESO,61.37,112.89,Mujer,Si,No,Si,Si,No,No,No,No,Si,No,No,Si,No,No,Si,3355,Planificacion
12,Declan Price,24,Universidad,60.54,117.79,Otro,No estoy seguro de ser trans,Si,Si,No,Si,Si,Si,Si,No,Si,No,No,No,Si,Si,3407,Finalidad
13,Luke Perez,11,Colegio,55.73,167.73,Otro,No,Si,No,No,No,No,Si,Si,No,No,No,Si,No,No,Si,1836,Deseo
14,Fikayo Stewart,18,Formacion Profesional,71.34,196.1,Otro,No estoy seguro de lo que se pregunta,No,Si,No,No,Si,Si,No,No,Si,Si,Si,No,Si,Si,1026,Ideacion
15,Ted Fernandez,10,Colegio,86.01,184.63,Mujer,No estoy seguro de ser trans,Si,Si,Si,No,Si,Si,Si,Si,No,No,Si,No,No,No,1021,Deseo
16,Gero Nelson,21,Formacion Profesional,80.39,126.52,Hombre,No estoy seguro de lo que se pregunta,No,Si,No,No,No,Si,No,Si,No,Si,Si,Si,Si,No,1135,Comunicacion
17,Marcus Stewart,25,Formacion Profesional,62.07,115.01,Hombre,Si,Si,No,Si,No,No,No,No,No,Si,Si,No,No,Si,No,1555,Intencion
18,Daniel Sanders,15,ESO,90.54,110.35,Mujer,No estoy seguro de ser trans,No,Si,No,Si,Si,Si,Si,No,Si,Si,No,No,No,No,2924,Comunicacion
19,Mary Nelson,18,Universidad,80.27,183.87,Otro,No estoy seguro de lo que se pregunta,Si,No,Si,Si,Si,No,No,Si,No,Si,Si,No,No,Si,1106,Planificacion
20,Luisa Barnes,22,Universidad,58.54,178.96,Otro,No estoy seguro de lo que se pregunta,No,No,No,No,No,Si,Si,No,Si,Si,Si,No,No,Si,3377,Deseo
21,Zara Wood,18,Formacion Profesional,70.07,148.22,Otro,No estoy seguro de lo que se pregunta,Si,No,No,Si,No,Si,No,Si,Si,Si,Si,Si,Si,Si,3605,Planificacion
22,Marco Jordan,13,ESO,62.93,169.07,Hombre,No,Si,No,No,Si,No,Si,Si,No,No,Si,Si,Si,Si,Si,2639,Planificacion
23,Teddy Johnson,19,Formacion Profesional,71.86,123.54,Mujer,No estoy seguro de ser trans,No,No,Si,No,No,Si,No,Si,Si,Si,Si,Si,Si,Si,2800,Finalidad
24,Eoin Martinez,16,Bachillerato,57.36,169.02,Mujer,No,No,Si,No,No,No,Si,Si,No,No,Si,Si,No,Si,No,1983,Planificacion
25,Luke Gonzalez,13,ESO,89.03,154.29,Hombre,No estoy seguro de lo que se pregunta,Si,Si,Si,Si,No,No,Si,Si,Si,Si,Si,No,No,Si,1503,Planificacion
26,Paul Wilson,16,Bachillerato,50.47,159.14,Mujer,Si,Si,Si,No,Si,No,No,No,No,No,No,Si,No,Si,No,3639,Finalidad
27,Marcos Ramos,18,Formacion Profesional,69.36,127.38,Hombre,No estoy seguro de ser trans,No,No,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,1124,Finalidad
28,Yui Baker,10,Colegio,76.62,176.05,Otro,No estoy seguro de lo que se pregunta,No,No,Si,No,No,Si,No,Si,No,Si,Si,No,Si,No,2260,Finalidad
29,Robert Moore,21,Formacion Profesional,85.1,160.23,Mujer,No estoy seguro de ser trans,No,No,Si,No,No,Si,Si,No,No,Si,No,No,No,No,1968,Ideacion
30,Luka Russell,17,ESO,71.57,148.6,Otro,Si,Si,No,Si,Si,No,No,No,Si,No,No,Si,No,No,Si,1093,Intencion
31,Sean Watson,17,ESO,84.56,197.82,Hombre,No estoy seguro de ser trans,No,No,Si,No,Si,No,Si,Si,Si,Si,No,Si,Si,No,1665,Finalidad
32,Frederick Martinez,12,Colegio,58.42,174.01,Mujer,No estoy seguro de lo que se pregunta,Si,No,No,No,No,No,No,No,No,Si,Si,No,Si,No,3673,Intencion
33,Martin Fisher,11,Colegio,52.6,158.21,Hombre,No estoy seguro de lo que se pregunta,No,No,Si,Si,Si,No,No,Si,Si,No,Si,Si,Si,No,668,Deseo
34,Jude Davis,15,ESO,59.28,173.34,Otro,Si,No,No,Si,No,Si,No,No,No,No,No,No,Si,No,Si,2767,Deseo
35,Bernard Thomas,11,Colegio,84.57,139.18,Mujer,Si,Si,Si,No,No,No,Si,No,No,No,Si,No,No,No,No,2467,Planificacion
36,Lewis Clark,10,Colegio,75.87,188.76,Hombre,Si,Si,Si,No,No,Si,No,No,Si,Si,Si,Si,No,No,No,3679,Deseo
37,Declan Olson,21,Universidad,85.16,162.09,Otro,No estoy seguro de ser trans,No,Si,Si,No,Si,No,Si,No,Si,No,No,Si,Si,No,2731,Intencion
38,Sean Foster,23,Formacion Profesional,58.01,134.68,Hombre,Si,Si,Si,Si,No,Si,Si,Si,No,No,Si,Si,No,No,No,2118,Intencion
39,Theo Brown,16,ESO,77.08,120.69,Mujer,No,Si,No,No,No,No,Si,No,Si,Si,Si,Si,No,No,No,2149,Intencion
40,Fikayo Gray,20,Universidad,55.17,159.2,Hombre,Si,No,No,No,No,No,Si,No,No,No,Si,No,No,No,Si,3450,Intencion
41,Cristian Ramsey,11,Colegio,57.97,123.18,Otro,No estoy seguro de ser trans,Si,Si,Si,Si,No,Si,No,No,Si,Si,Si,Si,No,Si,2382,Ideacion
42,Richard Sanchez,14,ESO,90.64,157.57,Otro,No,No,Si,No,No,No,Si,No,No,Si,Si,No,No,Si,No,2859,Planificacion
43,Jude Diaz,14,ESO,60.48,180.61,Otro,Si,Si,Si,No,No,No,Si,Si,No,No,Si,No,No,No,No,895,Ideacion
44,Peter Gomez,16,Bachillerato,52.34,161.0,Mujer,Si,No,Si,Si,No,Si,No,Si,No,Si,Si,No,No,No,Si,2622,Intencion
45,Frank Green,13,Colegio,76.87,146.73,Mujer,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,No,No,No,2380,Ideacion
46,Tim Alexander,12,ESO,59.26,153.52,Mujer,Si,Si,Si,No,Si,Si,No,Si,Si,No,Si,No,No,Si,No,3135,Finalidad
47,Lewis Martin,21,Universidad,82.44,169.92,Mujer,No,No,Si,No,No,Si,Si,Si,Si,Si,No,No,No,Si,No,3583,Planificacion
48,Jordan Alexander,25,Universidad,61.3,138.61,Hombre,No estoy seguro de ser trans,No,No,No,No,Si,No,No,No,No,Si,Si,Si,Si,Si,1767,Finalidad
49,Charlie Russell,10,Colegio,56.3,172.47,Mujer,No,Si,No,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,No,1075,Comunicacion
50,Daniel Perez,18,Formacion Profesional,77.03,186.74,Hombre,Si,Si,No,Si,No,No,No,Si,Si,No,Si,Si,Si,Si,Si,3379,Comunicacion
51,Jack Gutierrez,12,Colegio,87.26,130.7,Hombre,No,No,No,Si,Si,Si,No,Si,Si,Si,No,Si,No,No,Si,1968,Intencion
52,Jordan Brooks,11,Colegio,69.47,139.08,Mujer,No,No,No,No,Si,No,No,Si,Si,No,Si,No,No,No,Si,453,Comunicacion
53,Lana Martinez,14,ESO,81.38,162.6,Hombre,Si,Si,Si,No,Si,No,No,No,Si,Si,No,No,No,Si,Si,2925,Planificacion
54,Larry Collins,15,ESO,84.3,171.41,Mujer,No estoy seguro de lo que se pregunta,No,No,Si,Si,Si,No,No,No,Si,Si,No,Si,Si,No,818,Deseo
55,Rio Ramsey,16,ESO,82.5,175.28,Hombre,Si,No,Si,No,No,No,Si,No,No,No,No,Si,Si,Si,Si,2947,Comunicacion
56,Tadeo Hill,17,Bachillerato,62.57,111.38,Otro,No estoy seguro de lo que se pregunta,Si,Si,No,No,No,Si,Si,No,Si,Si,No,No,Si,Si,2172,Finalidad
57,Johnny Sanders,23,Universidad,52.3,113.91,Hombre,No estoy seguro de ser trans,Si,Si,Si,No,Si,No,Si,Si,Si,No,Si,No,Si,Si,2484,Finalidad
58,Marlon Martinez,17,Bachillerato,71.6,116.83,Mujer,No,Si,No,No,Si,Si,Si,No,No,No,No,Si,No,Si,Si,1317,Comunicacion
59,Ronald Moore,22,Formacion Profesional,71.42,112.77,Otro,No estoy seguro de lo que se pregunta,No,Si,Si,Si,No,No,No,No,No,Si,No,Si,Si,Si,3993,Deseo
60,Bernard Cook,16,Bachillerato,77.88,170.57,Otro,Si,No,Si,No,No,Si,No,No,No,Si,No,Si,Si,No,No,1546,Finalidad
61,Tadeo Taylor,13,ESO,76.78,155.9,Otro,Si,Si,Si,No,Si,Si,No,No,No,No,Si,No,No,No,Si,2587,Deseo
62,Larry Fisher,18,Universidad,76.64,174.62,Mujer,No,Si,No,No,Si,No,Si,No,Si,No,No,No,Si,Si,No,667,Deseo
63,Phil Lewis,25,Universidad,85.99,197.63,Otro,Si,No,No,No,Si,No,No,Si,Si,Si,No,Si,No,Si,Si,3655,Deseo
64,Johnny Evans,12,ESO,80.48,118.71,Otro,No,No,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,Si,Si,1396,Planificacion
65,Davidson Jordan,15,ESO,88.26,161.19,Hombre,No estoy seguro de lo que se pregunta,Si,No,Si,Si,Si,No,No,Si,Si,No,No,No,No,No,3549,Planificacion
66,Luigi James,21,Formacion Profesional,82.35,110.71,Hombre,No estoy seguro de lo que se pregunta,No,No,Si,Si,Si,No,Si,No,No,No,No,Si,No,No,3304,Comunicacion
67,Eoin Bell,15,ESO,75.73,161.91,Mujer,No estoy seguro de lo que se pregunta,Si,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,3355,Comunicacion
68,Adebayo Cook,15,ESO,82.31,140.03,Mujer,Si,No,No,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,1701,Comunicacion
69,Timothy Brown,21,Universidad,87.63,134.26,Mujer,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,Si,3553,Ideacion
70,Tom Martinez,16,Bachillerato,87.5,126.58,Hombre,No estoy seguro de ser trans,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,No,No,No,Si,2797,Deseo
71,Luisa Gomez,15,ESO,55.24,190.56,Mujer,No estoy seguro de lo que se pregunta,No,Si,No,No,Si,Si,No,No,No,No,No,Si,No,No,3508,Deseo
72,Lisa Stewart,24,Universidad,83.88,138.06,Mujer,No,Si,Si,No,No,Si,Si,Si,No,No,Si,No,No,Si,Si,1196,Ideacion
73,Lisa Fernandez,24,Universidad,69.66,150.09,Hombre,No estoy seguro de ser trans,Si,No,Si,Si,Si,No,Si,No,No,Si,No,No,Si,No,3184,Ideacion
74,Mike Scott,18,Bachillerato,88.58,146.71,Hombre,No estoy seguro de lo que se pregunta,No,No,No,No,No,No,No,Si,Si,No,No,No,No,Si,2589,Comunicacion
75,Steven Rodriguez,14,ESO,82.09,173.65,Mujer,No estoy seguro de ser trans,Si,Si,No,No,No,No,Si,No,Si,Si,Si,Si,No,Si,982,Comunicacion
76,Larry Russell,22,Formacion Profesional,59.99,182.36,Mujer,Si,No,No,No,No,No,No,No,Si,No,Si,No,Si,No,No,1187,Planificacion
77,Rome Gray,13,ESO,55.62,146.23,Hombre,No,No,No,Si,Si,Si,No,No,No,Si,No,No,No,Si,Si,3156,Deseo
78,Timothy Olson,22,Formacion Profesional,57.51,188.95,Hombre,No estoy seguro de ser trans,Si,Si,Si,No,Si,Si,Si,Si,Si,No,Si,Si,No,Si,1632,Finalidad
79,Charlie Williams,22,Universidad,88.68,171.64,Mujer,No estoy seguro de ser trans,Si,No,Si,Si,No,Si,Si,Si,No,Si,Si,No,Si,Si,3013,Ideacion
80,Lisa Walker,21,Formacion Profesional,70.03,150.84,Mujer,No estoy seguro de lo que se pregunta,No,Si,Si,No,No,No,No,No,Si,Si,Si,Si,Si,Si,1606,Planificacion
81,Jordan Jones,13,Colegio,82.28,178.62,Mujer,No estoy seguro de ser trans,Si,No,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,1907,Comunicacion
82,Inma Scott,24,Universidad,54.05,137.51,Hombre,Si,Si,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,1590,Comunicacion
83,Gero James,23,Universidad,85.86,167.73,Mujer,No estoy seguro de lo que se pregunta,Si,Si,Si,No,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,2649,Intencion
84,Ollie Brown,23,Universidad,62.93,192.11,Hombre,No,Si,No,Si,Si,No,No,No,Si,Si,No,Si,Si,No,Si,1797,Ideacion
85,Richard Green,17,Bachillerato,70.47,200.22,Otro,No estoy seguro de lo que se pregunta,No,No,Si,Si,Si,No,Si,Si,No,No,Si,Si,Si,Si,3637,Intencion
86,Tadeo James,20,Formacion Profesional,55.58,196.1,Mujer,No estoy seguro de ser trans,Si,No,No,Si,Si,Si,No,No,No,Si,Si,No,Si,No,2351,Deseo
87,Adebayo Russell,10,Colegio,62.43,161.79,Hombre,No,Si,Si,No,No,Si,No,Si,Si,Si,No,Si,Si,Si,Si,901,Finalidad
88,Jenny Lee,24,Formacion Profesional,70.84,195.13,Hombre,No,Si,No,No,No,No,No,Si,Si,Si,No,Si,No,No,No,2399,Intencion
89,Ada Martinez,13,ESO,54.09,184.23,Hombre,No estoy seguro de ser trans,Si,Si,Si,Si,Si,No,No,Si,No,No,No,Si,No,Si,3839,Planificacion
90,Amelia Smith,20,Formacion Profesional,73.59,194.82,Otro,No estoy seguro de ser trans,Si,Si,Si,Si,No,No,Si,No,No,Si,Si,No,Si,No,1730,Deseo
91,Steve Stewart,16,ESO,85.14,127.72,Otro,No estoy seguro de ser trans,No,No,Si,No,No,No,Si,Si,No,Si,No,No,Si,No,3128,Comunicacion
92,Charlie King,16,ESO,89.26,161.76,Hombre,Si,No,Si,Si,No,No,Si,Si,No,No,No,Si,Si,No,Si,1973,Planificacion
93,Harry Collins,18,Universidad,64.64,126.84,Hombre,No estoy seguro de ser trans,Si,No,No,No,Si,Si,Si,Si,Si,No,Si,Si,No,No,2405,Ideacion
94,Lucas Miller,20,Universidad,54.22,121.77,Mujer,No,Si,Si,No,Si,Si,Si,Si,No,No,No,Si,Si,No,No,2747,Comunicacion
95,Steven Gonzalez,12,ESO,83.43,143.74,Mujer,No estoy seguro de lo que se pregunta,No,Si,No,No,Si,Si,Si,Si,Si,Si,Si,No,No,No,2983,Intencion
96,Inma Jordan,25,Universidad,52.28,151.86,Otro,No,Si,Si,Si,Si,Si,No,No,No,Si,No,No,Si,Si,Si,3718,Ideacion
97,Ollie Ramsey,11,Colegio,61.41,183.69,Otro,No,Si,Si,No,Si,No,Si,No,No,Si,Si,No,No,Si,Si,1531,Finalidad
98,Luca Gomez,16,ESO,62.0,150.84,Mujer,No estoy seguro de lo que se pregunta,Si,No,No,Si,Si,No,No,No,No,Si,No,Si,No,Si,1751,Comunicacion
99,Jeffrey Adams,18,Formacion Profesional,59.54,151.32,Hombre,No estoy seguro de lo que se pregunta,Si,No,Si,No,Si,Si,No,Si,Si,Si,No,No,Si,No,2023,Comunicacion
100,Lucy Gray,24,Formacion Profesional,83.31,187.51,Hombre,No estoy seguro de lo que se pregunta,Si,No,Si,No,Si,Si,Si,No,Si,Si,No,No,Si,Si,980,Comunicacion
101,Phil Hall,17,Bachillerato,85.21,171.28,Mujer,Si,No,Si,Si,No,No,Si,No,Si,No,Si,Si,No,No,Si,2521,Finalidad
102,Teddy Bennett,23,Formacion Profesional,90.89,126.24,Mujer,No estoy seguro de ser trans,No,No,Si,Si,No,No,Si,Si,Si,No,Si,No,No,Si,2482,Intencion
103,Luca Diaz,25,Formacion Profesional,66.9,145.78,Mujer,No estoy seguro de ser trans,Si,Si,Si,Si,No,Si,Si,Si,No,Si,No,Si,Si,No,1810,Intencion
104,Penny Russell,24,Universidad,58.4,174.02,Mujer,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,No,Si,Si,No,3388,Intencion
105,Frank King,24,Formacion Profesional,79.75,156.06,Hombre,No estoy seguro de ser trans,No,No,Si,Si,No,No,Si,No,Si,Si,Si,No,Si,Si,2335,Ideacion
106,Morgan Martinez,15,ESO,81.94,182.58,Otro,No,No,No,No,No,Si,Si,Si,Si,No,No,No,No,No,No,1555,Finalidad
107,Lucas Gray,22,Formacion Profesional,68.43,174.85,Mujer,Si,No,Si,No,Si,No,Si,Si,Si,No,Si,No,Si,No,No,2731,Intencion
108,Ronald Brown,13,Colegio,69.2,116.2,Otro,Si,No,No,Si,No,No,Si,Si,Si,No,No,No,No,No,Si,3494,Finalidad
109,Danny Perez,11,Colegio,60.3,146.09,Otro,No estoy seguro de ser trans,Si,Si,No,No,Si,Si,No,No,No,Si,Si,Si,No,Si,1637,Intencion
110,Fikayo Taylor,21,Formacion Profesional,83.76,146.0,Hombre,Si,Si,No,No,Si,No,No,Si,Si,No,Si,No,Si,Si,No,2125,Planificacion
111,Kenny Jackson,24,Universidad,66.03,167.61,Otro,No estoy seguro de lo que se pregunta,Si,No,No,Si,No,No,No,No,No,No,No,Si,Si,Si,816,Ideacion
112,Rachel Stewart,24,Universidad,58.97,177.31,Hombre,No estoy seguro de lo que se pregunta,No,Si,No,Si,No,No,No,Si,No,Si,Si,Si,No,Si,1638,Finalidad
113,Luisa Taylor,22,Universidad,72.11,143.39,Mujer,No estoy seguro de ser trans,No,Si,Si,Si,Si,No,No,Si,No,No,No,Si,Si,Si,1666,Deseo
114,Fred Carter,19,Universidad,70.09,115.83,Hombre,No estoy seguro de ser trans,No,No,Si,No,No,No,Si,Si,No,Si,Si,Si,No,No,2025,Comunicacion
115,Richard King,19,Universidad,54.36,188.98,Otro,No estoy seguro de lo que se pregunta,Si,Si,Si,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,1111,Intencion
116,Gero Brown,14,ESO,61.18,192.34,Otro,No estoy seguro de ser trans,No,Si,No,Si,No,Si,No,Si,No,No,Si,Si,No,Si,1603,Deseo
117,Gero Barnes,18,Universidad,59.13,136.86,Otro,No estoy seguro de lo que se pregunta,Si,No,No,Si,Si,No,Si,Si,Si,No,No,No,No,No,1685,Ideacion
118,Marcus Wood,10,Colegio,61.07,125.33,Otro,No,Si,Si,Si,Si,No,Si,Si,Si,No,Si,Si,Si,Si,No,2520,Ideacion
119,Bernard Martinez,17,ESO,64.9,173.41,Hombre,No estoy seguro de lo que se pregunta,No,Si,Si,No,Si,No,Si,No,Si,No,Si,No,No,Si,3198,Finalidad
120,Jude James,15,ESO,86.03,137.29,Hombre,No,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,3568,Comunicacion
121,John Wood,10,Colegio,78.43,165.86,Mujer,No estoy seguro de lo que se pregunta,No,Si,Si,No,Si,Si,Si,No,No,Si,No,No,No,Si,2837,Deseo
122,Phil Morales,20,Universidad,53.32,122.28,Hombre,No,Si,No,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,888,Finalidad
123,Amelia Brooks,20,Formacion Profesional,84.81,139.93,Hombre,Si,No,No,No,Si,Si,Si,No,Si,No,Si,Si,No,Si,Si,3208,Intencion
124,Ronnie Ramsey,14,ESO,65.68,119.28,Otro,Si,No,No,Si,No,Si,Si,Si,No,No,No,Si,Si,Si,Si,1064,Planificacion
125,Max Morales,11,Colegio,55.78,171.62,Mujer,Si,No,No,No,No,No,No,Si,No,No,No,No,Si,Si,No,845,Comunicacion
126,Michael Young,21,Formacion Profesional,88.13,133.11,Hombre,No,Si,No,No,Si,No,No,Si,No,No,Si,Si,No,Si,No,1441,Comunicacion
127,Andrew Gonzalez,12,Colegio,57.84,184.44,Hombre,No estoy seguro de lo que se pregunta,No,Si,No,Si,Si,Si,Si,No,No,Si,Si,Si,No,No,2208,Planificacion
128,Phil Martin,18,Formacion Profesional,60.79,154.95,Otro,No estoy seguro de ser trans,Si,No,No,No,No,No,Si,No,Si,No,Si,No,No,No,1887,Intencion
129,Harry Green,24,Universidad,51.73,195.84,Mujer,No estoy seguro de lo que se pregunta,Si,Si,Si,Si,No,No,Si,No,No,Si,No,No,Si,No,2134,Planificacion
130,Declan Sanders,18,Formacion Profesional,78.09,126.36,Hombre,No estoy seguro de lo que se pregunta,Si,Si,No,No,Si,No,Si,Si,Si,Si,No,No,Si,No,763,Intencion
131,Davidson Bell,24,Universidad,82.72,121.68,Hombre,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,Si,No,1970,Finalidad
132,Veronica Cooper,11,Colegio,81.23,119.89,Otro,No,Si,No,Si,Si,Si,No,No,Si,No,No,No,Si,Si,No,884,Planificacion
133,Nathan Price,22,Formacion Profesional,82.14,137.97,Hombre,Si,Si,No,No,Si,No,Si,No,Si,No,No,Si,No,No,Si,3934,Comunicacion
134,Lucas Carter,12,Colegio,86.52,153.21,Mujer,No estoy seguro de ser trans,No,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,532,Comunicacion
135,Tiffany Williams,23,Formacion Profesional,52.0,125.61,Mujer,No estoy seguro de lo que se pregunta,Si,Si,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,No,3225,Deseo
136,Luka Bell,11,Colegio,85.99,110.66,Hombre,No,Si,No,No,Si,No,No,Si,No,No,No,Si,No,No,Si,914,Intencion
137,Teddy Bennett,24,Universidad,74.62,173.54,Otro,No,No,No,Si,No,No,No,Si,No,Si,Si,No,Si,No,No,2719,Ideacion
138,Kenny Brown,22,Formacion Profesional,66.87,126.26,Otro,Si,No,Si,No,Si,No,No,Si,No,Si,No,Si,Si,No,No,2844,Deseo
139,Eoin Wright,15,ESO,86.08,182.39,Hombre,Si,Si,Si,Si,No,Si,No,Si,Si,Si,No,No,Si,Si,No,3426,Comunicacion
140,Jeff Shaw,13,ESO,83.82,151.41,Hombre,No,No,Si,Si,No,No,Si,Si,Si,No,Si,No,Si,No,Si,3320,Deseo
141,Lewis Kelly,25,Universidad,67.53,139.84,Otro,Si,Si,No,Si,No,No,Si,No,Si,Si,No,Si,Si,No,Si,654,Finalidad
142,Paul Evans,22,Universidad,54.44,177.7,Mujer,Si,Si,No,Si,Si,Si,No,Si,Si,No,No,Si,Si,Si,No,2605,Planificacion
143,Rio Shaw,14,ESO,54.38,189.84,Mujer,No,No,Si,Si,No,No,No,Si,No,Si,Si,Si,Si,No,Si,657,Comunicacion
